Fuzz Attempt Nr.,Date and Time,Iteration Nr.,Exit Code,Output Messages,Action Sequence,Map File Name,Map File Type,Map File Custom Attribute,Absolute Map File Path,Relative Map File Path
1,22-06-2023 01:43,1,10,Unknown character,SWE,map_1.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_1.txt
2,22-06-2023 01:47,1,10,Unknown character,SWE,map_1.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_1.txt
3,22-06-2023 01:57,1,10,Unknown character,SWE,map_1.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_3/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_3/exitcode10_rejected/map_1.txt
4,22-06-2023 01:59,1,10,Unknown character,SWE,map_1.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_4/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_4/exitcode10_rejected/map_1.txt
5,22-06-2023 03:39,1,10,Unknown character,SWE,map_1.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_5/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_5/exitcode10_rejected/map_1.txt
6,22-06-2023 03:40,1,10,Unknown character,SWE,map_1.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_6/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_6/exitcode10_rejected/map_1.txt
7,22-06-2023 03:46,1,10,Unknown character,SWE,map_1.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_7/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_7/exitcode10_rejected/map_1.txt
8,22-06-2023 03:47,1,10,Unknown character,SWE,map_1.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_8/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_8/exitcode10_rejected/map_1.txt
9,22-06-2023 03:47,1,10,Unknown character,SWE,map_1.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_9/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_9/exitcode10_rejected/map_1.txt
10,22-06-2023 03:49,1,10,Unknown character,SWE,map_1.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_10/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_10/exitcode10_rejected/map_1.txt
11,22-06-2023 03:50,1,10,Unknown character,SWE,map_1.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_11/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_11/exitcode10_rejected/map_1.txt
12,22-06-2023 03:51,1,10,Unknown character,SWE,map_1.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_12/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_12/exitcode10_rejected/map_1.txt
13,22-06-2023 03:53,1,10,Unknown character,SWE,map_1.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_13/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_13/exitcode10_rejected/map_1.txt
