Iteration Nr.,Exit Code,Output Messages,Action Sequence,Map File Type,Map File Custom Attribute,Absolute Map File Path
1,10,Error reading file by readAllLines,SWE,.pdf (Portable Document Format),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/EmptyFile_UnknownFileType.pdf
2,10,No lines,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FileEmpty.txt
3,10,Unknown character,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstCharacterEmpty.txt
4,10,No columns,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLineEmpty.txt
5,10,No columns,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLineEmpty_LinePlayers.txt
6,10,No columns,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLineEmpty_LineTooLong.txt
7,10,No columns,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLineEmpty_LineTooShort.txt
8,10,No columns,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLineEmpty_NoFood.txt
9,10,No columns,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLineEmpty_NoMonster.txt
10,10,No columns,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLineEmpty_NoPlayer.txt
11,10,No columns,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLineEmpty_UnknownCharacter.txt
12,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLinePlayers.txt
13,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLinePlayers_LinePlayers.txt
14,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLinePlayers_LineTooLong.txt
15,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLinePlayers_LineTooShort.txt
16,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLinePlayers_NoFood.txt
17,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/FirstLinePlayers_NoMonster.txt
18,10,Widths mismatch,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/LineEmpty.txt
19,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/LinePlayers.txt
20,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/LinePlayers_LineTooShort.txt
21,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/LinePlayers_NoFood.txt
22,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/LinePlayers_NoMonster.txt
23,10,Widths mismatch,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/LineTooLong.txt
