Fuzz Attempt Nr.,Date and Time,Iteration Nr.,Exit Code,Output Messages,Action Sequence,Map File Name,Map File Type,Map File Custom Attribute,Absolute Map File Path,Relative Map File Path
1,23-06-2023 21:35,1,10,No columns,SWE,map_1.txt,.txt (Unformatted Text Document),MW,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_1.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_1.txt
1,23-06-2023 21:35,2,10,More than one player,SWE,map_2.txt,.txt (Unformatted Text Document),MWP,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_2.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_2.txt
1,23-06-2023 21:35,3,10,More than one player,SWE,map_3.txt,.txt (Unformatted Text Document),OPF,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_3.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_3.txt
1,23-06-2023 21:35,4,10,More than one player,SWE,map_4.txt,.txt (Unformatted Text Document),OPE,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_4.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_4.txt
1,23-06-2023 21:35,5,10,Widths mismatch,SWE,map_5.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_5.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_5.txt
1,23-06-2023 21:35,6,10,More than one player,SWE,map_6.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_6.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_6.txt
1,23-06-2023 21:35,7,10,More than one player,SWE,map_7.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_7.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_7.txt
1,23-06-2023 21:35,8,10,Widths mismatch,SWE,map_8.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_8.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_8.txt
1,23-06-2023 21:35,9,10,More than one player,SWE,map_9.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_9.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_9.txt
1,23-06-2023 21:35,10,10,More than one player,SWE,map_10.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_10.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_10.txt
1,23-06-2023 21:35,11,10,Widths mismatch,SWE,map_11.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_11.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_11.txt
1,23-06-2023 21:35,12,10,More than one player,SWE,map_12.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_12.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_12.txt
1,23-06-2023 21:35,13,10,More than one player,SWE,map_13.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_13.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_13.txt
1,23-06-2023 21:35,14,10,More than one player,SWE,map_14.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_14.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_14.txt
1,23-06-2023 21:35,15,10,More than one player,SWE,map_15.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_15.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_15.txt
1,23-06-2023 21:35,16,10,No lines,SWE,map_16.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_16.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_16.txt
1,23-06-2023 21:35,17,10,More than one player,SWE,map_17.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_17.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_17.txt
1,23-06-2023 21:35,18,10,No lines,SWE,map_18.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_18.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_18.txt
1,23-06-2023 21:35,19,10,More than one player,SWE,map_19.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_19.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_19.txt
1,23-06-2023 21:35,20,10,Widths mismatch,SWE,map_20.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_20.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_20.txt
1,23-06-2023 21:35,21,10,No lines,SWE,map_21.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_21.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_21.txt
1,23-06-2023 21:35,22,10,More than one player,SWE,map_22.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_22.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_22.txt
1,23-06-2023 21:35,23,10,More than one player,SWE,map_23.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_23.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_23.txt
1,23-06-2023 21:35,24,10,No columns,SWE,map_24.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_24.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_24.txt
1,23-06-2023 21:35,25,10,More than one player,SWE,map_25.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_25.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_25.txt
1,23-06-2023 21:35,26,10,Widths mismatch,SWE,map_26.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_1/exitcode10_rejected/map_26.txt,fuzzresults/maps/previous_maps/run_1/exitcode10_rejected/map_26.txt
