Iteration Nr.,Exit Code,Output Messages,Action Sequence,Map File Type,Map File Custom Attribute,Absolute Map File Path
1,10,No columns,SWE,.txt (Unformatted Text Document),MW,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_1.txt
2,10,More than one player,SWE,.txt (Unformatted Text Document),MWP,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_2.txt
3,10,More than one player,SWE,.txt (Unformatted Text Document),OPF,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_3.txt
4,10,More than one player,SWE,.txt (Unformatted Text Document),OPE,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_4.txt
5,10,Widths mismatch,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_5.txt
6,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_6.txt
7,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_7.txt
8,10,Widths mismatch,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_8.txt
9,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_9.txt
10,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_10.txt
11,10,Widths mismatch,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_11.txt
12,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_12.txt
13,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_13.txt
14,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_14.txt
15,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_15.txt
16,10,No lines,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_16.txt
17,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_17.txt
18,10,No lines,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_18.txt
19,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_19.txt
20,10,Widths mismatch,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_20.txt
21,10,No lines,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_21.txt
22,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_22.txt
23,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_23.txt
24,10,No columns,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_24.txt
25,10,More than one player,SWE,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/actual_maps/exitcode10_rejected/map_25.txt
