Fuzz Attempt Nr.,Date and Time,Execution Time,Exit Code 0,Exit Code 1,Exit Code 10,Exit Code Other
1,27-06-2023 22:46,49:37,148,0,0,0
1,27-06-2023 22:46,49:37,0,0,0,249
1,27-06-2023 22:46,49:37,0,115,0,0
4,28-06-2023 00:40,45:21,147,0,0,0
4,28-06-2023 00:40,45:21,0,0,0,4
4,28-06-2023 00:40,45:21,0,18,0,0
7,30-06-2023 18:25,159:12,256,0,0,0
7,30-06-2023 18:25,159:12,0,0,0,14
7,30-06-2023 18:25,159:12,0,145,0,0


11,01-07-2023 18:04,11:01,159,0,0,0
11,01-07-2023 18:04,11:01,0,0,0,198
11,01-07-2023 18:04,11:01,0,8,0,0
