Fuzz Attempt Nr.,Date and Time,Execution Time,Exit Code 0,Exit Code 1,Exit Code 10,Exit Code Other
1,04-09-2023 16:22,01:35,0,0,0,17
1,04-09-2023 16:22,01:35,12,0,0,0
1,04-09-2023 16:22,01:35,0,36,0,0
2,04-09-2023 16:29,01:47,25,0,0,0
2,04-09-2023 16:29,01:47,0,0,0,13
2,04-09-2023 16:29,01:47,0,43,0,0
3,04-09-2023 19:25,02:26,30,0,0,0
3,04-09-2023 19:25,02:26,0,0,0,5
3,04-09-2023 19:25,02:26,0,48,0,0
4,04-09-2023 19:56,02:54,65,0,0,0
4,04-09-2023 19:56,02:54,0,0,0,20
4,04-09-2023 19:56,02:54,0,6,0,0
